policy_file,category,deployed_name,graph_shape,workbook_row,workbook_policy_name,platform,cis_level,source,control_domain,nist_800_53_r5,iso_27001_2022,auditor_rationale,mapping_status,match_method,match_note
CISv4 - WIN - L1 - ASR Block Office communication application  from creating child processes,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block Office communication application  from creating child processes,settings_catalog_policy,66,ASR - BLOCK - Block Office communication application from creating child processes,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Blocks Outlook/Teams from spawning child processes — prevents email client exploitation,mapped,prefix,
CISv4 - WIN - L1 - ASR Block Win32 API calls from Office  macros,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block Win32 API calls from Office  macros,settings_catalog_policy,58,ASR - BLOCK - Block Win32 API calls from Office macros,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Macro-based attacks are a top threat vector — directly evidences ISO 8.7 macro controls,mapped,prefix,
CISv4 - WIN - L1 - ASR Block all Office applications from creating  child processes,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block all Office applications from creating  child processes,settings_catalog_policy,67,ASR - BLOCK - Block all Office applications from creating child processes,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Blanket block on Office spawning any child process — strongest Office attack surface control,mapped,prefix,
CISv4 - WIN - L1 - ASR Block credential stealing from the  Windows local security authority subsystem,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block credential stealing from the  Windows local security authority subsystem,settings_catalog_policy,56,ASR - BLOCK - Block credential stealing from the Windows local security authority subsystem,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),"SI-3, SI-16",8.7,"Blocks LSASS dumping — highest-value ASR rule. ES BLOCK policy used: proper template reference, enforced block mode",mapped,prefix,
CISv4 - WIN - L1 - ASR Block executable content from email  client and webmail,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block executable content from email  client and webmail,settings_catalog_policy,57,ASR - BLOCK - Block executable content from email client and webmail,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Email is the primary malware delivery vector — enforced block mode with template reference,mapped,prefix,
"CISv4 - WIN - L1 - ASR Block executable files from running  unless they meet a prevalence, age, or trusted list criterion'",01_Defender_for_Endpoint (Windows + Linux),"CISv4 - WIN - L1 - ASR: Block executable files from running  unless they meet a prevalence, age, or trusted list criterion'",settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - ASR Block execution of potentially obfuscated  scripts,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block execution of potentially obfuscated  scripts,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - ASR Block persistence through WMI event  subscription,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block persistence through WMI event  subscription,settings_catalog_policy,69,ASR - BLOCK - Block persistence through WMI event subscription,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),SI-3,8.7,Blocks WMI-based persistence — a favourite technique for fileless malware and APT actors,mapped,prefix,
CISv4 - WIN - L1 - ASR Block process creations originating from  PSExec and WMI commands,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block process creations originating from  PSExec and WMI commands,settings_catalog_policy,61,CISv4 - WIN - L1 - ASR Block process creations originating from  PSExec and WMI commands,Windows 11,L1,CIS,Attack Surface Reduction (ASR),SI-3,8.7,Blocks living-off-the-land lateral movement via PSExec and WMI — CIS L1 version used (no ES BLOCK equivalent exists for this specific rule),mapped,exact,
CISv4 - WIN - L1 - ASR Block untrusted and unsigned processes  that run from USB,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L1 - ASR: Block untrusted and unsigned processes  that run from USB,settings_catalog_policy,62,ASR - BLOCK - Block untrusted and unsigned processes that run from USB,Windows 11,L1,Endpoint Security,Attack Surface Reduction (ASR),"SI-3, MP-7",8.7,Blocks malware execution from USB drives — ES BLOCK version with template reference,mapped,prefix,
CISv4 - WIN - L2 - Enable File Hash Computation,01_Defender_for_Endpoint (Windows + Linux),CISv4 - WIN - L2 - Enable File Hash Computation,settings_catalog_policy,20,CISv4 - WIN - L2 - Enable File Hash Computation,Windows 11,L2,CIS,Malware Protection,"SI-3, SI-7",8.7,"Defender computes file hashes for threat intelligence — invisible to users, strengthens SI-3 and SI-7 evidence",mapped,exact,
Baseline - Device Password Policy (Consolidated),02_Windows_CIS_Benchmark_Hardening,Baseline - Device Password Policy (Consolidated),settings_catalog_policy,1,Baseline - Device Password Policy (Consolidated),Windows 11,L1,CIS,Authentication & Account Security,"IA-5, AC-11, AC-7","8.5, 8.1, 5.17","Consolidates the 6 separate 'Device Password Enabled...' policies from the original baseline into one. The DeviceLock CSP requires all child settings (min length, complexity, lockout, inactivity, history) to travel together under one parent setting — deploying the original 6 as separate policies to the same device causes a genuine Intune Settings Catalog conflict, since each file reset the others' settings back to schema defaults. Fixed 2026-09: min length 14, alphanumeric required, 5 failed attempts, 15 min inactivity, 24-password history, enabled.",mapped,exact,
CISv4 - WIN - L1 - 'User Account Control Behavior of the  elevation prompt for standard users,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - 'User Account Control: Behavior of the  elevation prompt for standard users,settings_catalog_policy,31,CISv4 - WIN - L1 - 'User Account Control Behavior of the  elevation prompt for standard users,Windows 11,L1,CIS,UAC & Privileged Access,AC-6,8.2,Ensures standard users cannot self-elevate — AC-6 least privilege enforcement,mapped,exact,
CISv4 - WIN - L1 - Accounts Enable Guest account status,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Accounts: Enable Guest account status,settings_catalog_policy,2,CISv4 - WIN - L1 - Accounts Enable Guest account status,Windows 11,L1,CIS,Authentication & Account Security,AC-2,"5.16, 8.2",Disabling guest access is a mandatory AC-2 control — auditors always check this,mapped,exact,
CISv4 - WIN - L1 - Accounts Limit local account use of blank  passwords to console logon only',02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Accounts: Limit local account use of blank  passwords to console logon only',settings_catalog_policy,3,CISv4 - WIN - L1 - Accounts Limit local account use of blank  passwords to console logon only',Windows 11,L1,CIS,Authentication & Account Security,IA-5,"8.5, 5.17",Blocks remote access with blank passwords — critical IA-5 evidence,mapped,exact,
CISv4 - WIN - L1 - Accounts Rename administrator account,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Accounts: Rename administrator account,settings_catalog_policy,4,CISv4 - WIN - L1 - Accounts Rename administrator account,Windows 11,L1,CIS,Authentication & Account Security,"AC-2, AC-6","5.16, 8.2",Removes predictable attack target — standard auditor check for AC-2/AC-6,mapped,exact,
CISv4 - WIN - L1 - Allow Basic authentication WinRM Client,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Allow Basic authentication WinRM Client,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Allow Indexing Encrypted Stores Or Items,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Allow Indexing Encrypted Stores Or Items,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Always prompt for password upon connection,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Always prompt for password upon connection,settings_catalog_policy,41,CISv4 - WIN - L1 - Always prompt for password upon connection,Windows 11,L1,CIS,Remote Access,"AC-17, IA-2",8.5,Prevents credential caching on RDP reconnect — AC-17 and ISO 8.5 evidence,mapped,exact,
CISv4 - WIN - L1 - Apply UAC restrictions to local accounts on  network logons,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Apply UAC restrictions to local accounts on  network logons,settings_catalog_policy,32,CISv4 - WIN - L1 - Apply UAC restrictions to local accounts on  network logons,Windows 11,L1,CIS,UAC & Privileged Access,"AC-6, AC-3",8.2,Prevents pass-the-hash lateral movement via local admin — critical AC-6 network control,mapped,exact,
CISv4 - WIN - L1 - Configure Lsa Protected Process is set to  'Enabled with UEFI Lock,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Configure Lsa Protected Process is set to  'Enabled with UEFI Lock...,settings_catalog_policy,27,CISv4 - WIN - L1 - Configure Lsa Protected Process is set to  'Enabled with UEFI Lock,Windows 11,L1,CIS,Credential Protection,"SC-3, SI-16",8.1,LSA protection prevents credential dumping — key evidence for SI-16 and ISO 8.1,mapped,exact,
CISv4 - WIN - L1 - Configure SMB v1 client driver,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Configure SMB v1 client driver,settings_catalog_policy,35,CISv4 - WIN - L1 - Configure SMB v1 client driver,Windows 11,L1,CIS,Network Security,"CM-7, SC-8","8.9, 8.20",Disabling SMBv1 closes the EternalBlue attack surface — standard audit expectation,mapped,exact,
CISv4 - WIN - L1 - Configure SMB v1 server,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Configure SMB v1 server,settings_catalog_policy,36,CISv4 - WIN - L1 - Configure SMB v1 server,Windows 11,L1,CIS,Network Security,"CM-7, SC-8","8.9, 8.20",Server-side SMBv1 disable — auditors check both client and server settings,mapped,exact,
CISv4 - WIN - L1 - Credential Guard,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Credential Guard,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Interactive logon Machine inactivity limit,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Interactive logon: Machine inactivity limit,settings_catalog_policy,46,CISv4 - WIN - L1 - Interactive logon Machine inactivity limit,Windows 11,L1,CIS,Screen Lock & Session,AC-11,8.1,Idle timeout lockout — one of the most commonly tested physical security controls,mapped,exact,
CISv4 - WIN - L1 - Interactive logon Smart card removal  behavior,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Interactive logon: Smart card removal  behavior,settings_catalog_policy,47,CISv4 - WIN - L1 - Interactive logon Smart card removal  behavior,Windows 11,L1,CIS,Screen Lock & Session,AC-11,8.1,Locks workstation on smart card removal — supports AC-11 session termination,mapped,exact,
CISv4 - WIN - L1 - MSS (AutoAdminLogon) Enable Automatic  Logon (not recommended),02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - MSS: (AutoAdminLogon) Enable Automatic  Logon (not recommended),settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Microsoft network client Digitally sign  communications (always),02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Microsoft network client: Digitally sign  communications (always),settings_catalog_policy,37,CISv4 - WIN - L1 - Microsoft network client Digitally sign  communications (always),Windows 11,L1,CIS,Network Security,SC-8,8.20,"Mandates SMB signing — prevents relay attacks, directly evidences SC-8",mapped,exact,
CISv4 - WIN - L1 - Microsoft network server Digitally sign  communications (always),02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Microsoft network server: Digitally sign  communications (always),settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Network security Do not store LAN Manager  hash value on next password change,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Network security: Do not store LAN Manager  hash value on next password change,settings_catalog_policy,28,CISv4 - WIN - L1 - Network security Do not store LAN Manager  hash value on next password change,Windows 11,L1,CIS,Credential Protection,IA-5,"8.5, 5.17",Eliminates weak LM hash storage — directly satisfies IA-5 and ISO 5.17,mapped,exact,
CISv4 - WIN - L1 - Network security LAN Manager authentication  level,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Network security: LAN Manager authentication  level,settings_catalog_policy,34,CISv4 - WIN - L1 - Network security LAN Manager authentication  level,Windows 11,L1,CIS,Network Security,"IA-3, SC-8","8.5, 8.20","Sets NTLMv2-only — eliminates weak auth protocols, satisfies SC-8 and ISO 8.5",mapped,exact,
CISv4 - WIN - L1 - Prevent the use of security questions for  local accounts,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Prevent the use of security questions for  local accounts,settings_catalog_policy,5,CISv4 - WIN - L1 - Prevent the use of security questions for  local accounts,Windows 11,L1,CIS,Authentication & Account Security,IA-5,"8.5, 5.17",Eliminates weak authenticator fallback — directly addresses IA-5 and ISO 5.17,mapped,exact,
CISv4 - WIN - L1 - Require a password when a computer  wakes (plugged in),02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Require a password when a computer  wakes (plugged in),settings_catalog_policy,48,CISv4 - WIN - L1 - Require a password when a computer  wakes (plugged in),Windows 11,L1,CIS,Screen Lock & Session,AC-11,8.1,Ensures wake-from-sleep requires re-authentication — AC-11 evidence for auditors,mapped,exact,
CISv4 - WIN - L1 - Require secure RPC communication,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Require secure RPC communication,settings_catalog_policy,42,CISv4 - WIN - L1 - Require secure RPC communication,Windows 11,L1,CIS,Remote Access,SC-8,8.20,Authenticated and encrypted RPC — closes unauthenticated RPC exploitation path,mapped,exact,
CISv4 - WIN - L1 - Require user authentication for remote  connections by using Network Level Authentication,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Require user authentication for remote  connections by using Network Level Authentication,settings_catalog_policy,39,CISv4 - WIN - L1 - Require user authentication for remote  connections by using Network Level Authentication,Windows 11,L1,CIS,Remote Access,"AC-17, IA-2","8.5, 8.20",NLA for RDP is one of the first remote access controls auditors test,mapped,exact,
CISv4 - WIN - L1 - Set client connection encryption level,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - Set client connection encryption level,settings_catalog_policy,40,CISv4 - WIN - L1 - Set client connection encryption level,Windows 11,L1,CIS,Remote Access,"AC-17, SC-8",8.20,Forces high encryption on RDP sessions — directly evidences SC-8 for remote access,mapped,exact,
CISv4 - WIN - L1 - User Account Control Behavior of the  elevation prompt for administrators,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - User Account Control: Behavior of the  elevation prompt for administrators,settings_catalog_policy,30,CISv4 - WIN - L1 - User Account Control Behavior of the  elevation prompt for administrators,Windows 11,L1,CIS,UAC & Privileged Access,AC-6,8.2,Controls how admin elevation is triggered — auditors verify prompt is not bypassed,mapped,exact,
CISv4 - WIN - L1 - User Account Control Run all administrators  in Admin Approval Mode,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - User Account Control: Run all administrators  in Admin Approval Mode,settings_catalog_policy,29,CISv4 - WIN - L1 - User Account Control Run all administrators  in Admin Approval Mode,Windows 11,L1,CIS,UAC & Privileged Access,AC-6,8.2,Admin Approval Mode is the cornerstone of least-privilege enforcement on Windows,mapped,exact,
CISv4 - WIN - L1 - WDigest Authentication,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L1 - WDigest Authentication,settings_catalog_policy,26,CISv4 - WIN - L1 - WDigest Authentication,Windows 11,L1,CIS,Credential Protection,"IA-5, SC-28",8.5,Disabling WDigest prevents cleartext credential caching — critical IA-5 and ISO 8.5 control,mapped,exact,
CISv4 - WIN - L2 - Set time limit for active but idle  Remote Desktop Services sessions,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L2 - Set time limit for active but idle  Remote Desktop Services sessions,settings_catalog_policy,44,CISv4 - WIN - L2 - Set time limit for active but idle  Remote Desktop Services sessions,Windows 11,L2,CIS,Remote Access,"AC-11, AC-17",8.1,"Idle RDS session timeout — zero user impact, directly satisfies AC-11 and ISO 8.1",mapped,exact,
CISv4 - WIN - L2 - Set time limit for disconnected  sessions,02_Windows_CIS_Benchmark_Hardening,CISv4 - WIN - L2 - Set time limit for disconnected  sessions,settings_catalog_policy,45,CISv4 - WIN - L2 - Set time limit for disconnected  sessions,Windows 11,L2,CIS,Remote Access,"AC-11, AC-17",8.1,"Cleans up disconnected sessions — prevents abandoned authenticated sessions, AC-11 evidence",mapped,exact,
CISv4 - WIN - L1 - Account Logon Audit Credential Validation,03_Audit_and_Logging,CISv4 - WIN - L1 - Account Logon Audit Credential Validation,settings_catalog_policy,7,CISv4 - WIN - L1 - Account Logon Audit Credential Validation,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-12",8.15,Captures credential use events — core audit log evidence for AU-2,mapped,exact,
CISv4 - WIN - L1 - Account Logon Logoff Audit Account Lockout,03_Audit_and_Logging,CISv4 - WIN - L1 - Account Logon Logoff Audit Account Lockout,settings_catalog_policy,9,CISv4 - WIN - L1 - Account Logon Logoff Audit Account Lockout,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-12",8.15,Lockout events evidence enforcement of AC-7 — auditors cross-reference these,mapped,exact,
CISv4 - WIN - L1 - Account Logon Logoff Audit Logon,03_Audit_and_Logging,CISv4 - WIN - L1 - Account Logon Logoff Audit Logon,settings_catalog_policy,8,CISv4 - WIN - L1 - Account Logon Logoff Audit Logon,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-12",8.15,Logon event capture is the most commonly audited log category,mapped,exact,
CISv4 - WIN - L1 - Audit Changes to Audit Policy,03_Audit_and_Logging,CISv4 - WIN - L1 - Audit Changes to Audit Policy,settings_catalog_policy,13,CISv4 - WIN - L1 - Audit Changes to Audit Policy,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-9",8.15,Detects tampering with audit config — required for AU-9 protection of logs,mapped,exact,
CISv4 - WIN - L1 - Audit Special Logon,03_Audit_and_Logging,CISv4 - WIN - L1 - Audit Special Logon,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Audit User Account Management,03_Audit_and_Logging,CISv4 - WIN - L1 - Audit User Account Management,settings_catalog_policy,10,CISv4 - WIN - L1 - Audit User Account Management,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-12",8.15,Captures account creation/modification — required for AC-2 audit trail,mapped,exact,
CISv4 - WIN - L1 - Object Access Audit Removable Storage,03_Audit_and_Logging,CISv4 - WIN - L1 - Object Access Audit Removable Storage,settings_catalog_policy,15,CISv4 - WIN - L1 - Object Access Audit Removable Storage,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-12",8.15,Audits all removable storage access events — ISO 8.15 evidence and forensic trail for USB activity,mapped,exact,
CISv4 - WIN - L1 - Privilege Use Audit Sensitive Privilege Use,03_Audit_and_Logging,CISv4 - WIN - L1 - Privilege Use Audit Sensitive Privilege Use,settings_catalog_policy,12,CISv4 - WIN - L1 - Privilege Use Audit Sensitive Privilege Use,Windows 11,L1,CIS,Audit & Logging,"AU-2, AU-12",8.15,Logs use of sensitive privileges — directly satisfies AU-2 and ISO 8.16,mapped,exact,
CISv4 - WIN - L1 - Specify the maximum log file size (KB) Security,03_Audit_and_Logging,CISv4 - WIN - L1 - Specify the maximum log file size (KB) Security,settings_catalog_policy,14,CISv4 - WIN - L1 - Specify the maximum log file size (KB) Security,Windows 11,L1,CIS,Audit & Logging,AU-11,8.15,Ensures logs are retained and not overwritten — AU-11 retention evidence,mapped,exact,
CISv4 - WIN - L2 - Turn on PowerShell Script Block Logging,03_Audit_and_Logging,CISv4 - WIN - L2 - Turn on PowerShell Script Block Logging,settings_catalog_policy,16,CISv4 - WIN - L2 - Turn on PowerShell Script Block Logging,Windows 11,L2,CIS,Audit & Logging,"AU-2, AU-12",8.15,"Logs every PowerShell command executed — zero user impact, critical for incident investigation and AU-2 evidence",mapped,exact,
CISv4 - WIN - L2 - Turn on PowerShell Transcription,03_Audit_and_Logging,CISv4 - WIN - L2 - Turn on PowerShell Transcription,settings_catalog_policy,17,CISv4 - WIN - L2 - Turn on PowerShell Transcription,Windows 11,L2,CIS,Audit & Logging,"AU-2, AU-12",8.15,"Full PowerShell session transcripts — invisible to users, strongest forensic audit trail available on Windows",mapped,exact,
Baseline - Account Protection,04_Identity_and_Authentication,Baseline - Account Protection,endpoint_security_intent,95,Baseline - Account Protection,Windows 11,L1,Endpoint Security,UAC & Privileged Access,"AC-6, IA-2",8.2,Microsoft's bundled account-protection template (Windows Hello / credential-guard-adjacent controls).,mapped,exact,
CISv4 - WIN - L2 - Support device authentication using  certificate,04_Identity_and_Authentication,CISv4 - WIN - L2 - Support device authentication using  certificate,settings_catalog_policy,6,CISv4 - WIN - L2 - Support device authentication using  certificate,Windows 11,L2,CIS,Authentication & Account Security,IA-3,8.5,Certificate-based device authentication strengthens IA-3 — no user-facing impact,mapped,exact,
