framework,control,policy_file,category,control_domain,cis_level,platform,mapping_status
ISO/IEC 27001:2022,(no workbook row),"CISv4 - WIN - L1 - ASR Block executable files from running  unless they meet a prevalence, age, or trusted list criterion'",01_Defender_for_Endpoint (Windows + Linux),,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - ASR Block execution of potentially obfuscated  scripts,01_Defender_for_Endpoint (Windows + Linux),,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Allow Basic authentication WinRM Client,02_Windows_CIS_Benchmark_Hardening,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Allow Indexing Encrypted Stores Or Items,02_Windows_CIS_Benchmark_Hardening,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Audit Special Logon,03_Audit_and_Logging,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Credential Guard,02_Windows_CIS_Benchmark_Hardening,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - MSS (AutoAdminLogon) Enable Automatic  Logon (not recommended),02_Windows_CIS_Benchmark_Hardening,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Manage preview builds,09_Patch_Management,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Microsoft network server Digitally sign  communications (always),02_Windows_CIS_Benchmark_Hardening,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Scheduled Install Day,09_Patch_Management,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),CISv4 - WIN - L1 - Turn off Autoplay,08_Removable_Media_and_Device_Control,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(no workbook row),Windows-Server-ASR-Block-Credential-Stealing-LSASS,15_Defender_for_Endpoint_Windows_Server,,,,UNMAPPED — no workbook row
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Clear browsing data when Microsoft Edge closes,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Clear cached images and files when Microsoft Edge closes,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Clear history for IE and IE mode every time you exit,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Configure InPrivate mode availability,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Configure the list of types that are excluded from synchronization,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Enable globally scoped HTTP auth cache,11_Microsoft_Edge_CIS_Benchmark,Credential Protection,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - In-app support Enabled,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L1 - Suggest similar pages when a webpage can#U2019t be found,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Allow file selection dialogs,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Configure Speech Recognition,11_Microsoft_Edge_CIS_Benchmark,AI & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Default sensors setting,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Default setting for third-party storage  partitioning,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Enforce Bing SafeSearch,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Enforce Google SafeSearch,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,(none recorded),CISv3 - EDGE - L2 - Spell checking provided by Microsoft Editor,11_Microsoft_Edge_CIS_Benchmark,AI & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,5.15,Baseline - One Drive management settings,05_Tenant_and_Account_Access_Control,Identity & Account Control,L2,Windows 11,mapped
ISO/IEC 27001:2022,5.16,Baseline - Block add MSA accounts and non-MSA accounts,05_Tenant_and_Account_Access_Control,Identity & Account Control,L1,Windows 11,mapped
ISO/IEC 27001:2022,5.16,CISv3 - EDGE - L2 - Browser sign-in settings,11_Microsoft_Edge_CIS_Benchmark,Identity & Account Control,L2,Edge,mapped
ISO/IEC 27001:2022,5.16,CISv4 - WIN - L1 - Accounts Enable Guest account status,02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,5.16,CISv4 - WIN - L1 - Accounts Rename administrator account,02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,5.16,sysext,16_Defender_for_Endpoint_macOS,Identity & Account Control,N/A,macOS,mapped
ISO/IEC 27001:2022,5.17,Baseline - Device Password Policy (Consolidated),02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,5.17,CISv4 - WIN - L1 - Accounts Limit local account use of blank  passwords to console logon only',02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,5.17,CISv4 - WIN - L1 - Network security Do not store LAN Manager  hash value on next password change,02_Windows_CIS_Benchmark_Hardening,Credential Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,5.17,CISv4 - WIN - L1 - Prevent the use of security questions for  local accounts,02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.1,Baseline - Device Password Policy (Consolidated),02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.1,CISv3 - EDGE - L1 - Enable profile creation from the Identity flyout menu or the Settings page,11_Microsoft_Edge_CIS_Benchmark,Identity & Account Control,L1,Edge,mapped
ISO/IEC 27001:2022,8.1,CISv4 - WIN - L1 - Configure Lsa Protected Process is set to  'Enabled with UEFI Lock,02_Windows_CIS_Benchmark_Hardening,Credential Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.1,CISv4 - WIN - L1 - Interactive logon Machine inactivity limit,02_Windows_CIS_Benchmark_Hardening,Screen Lock & Session,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.1,CISv4 - WIN - L1 - Interactive logon Smart card removal  behavior,02_Windows_CIS_Benchmark_Hardening,Screen Lock & Session,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.1,CISv4 - WIN - L1 - Require a password when a computer  wakes (plugged in),02_Windows_CIS_Benchmark_Hardening,Screen Lock & Session,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.1,CISv4 - WIN - L2 - Set time limit for active but idle  Remote Desktop Services sessions,02_Windows_CIS_Benchmark_Hardening,Remote Access,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.1,CISv4 - WIN - L2 - Set time limit for disconnected  sessions,02_Windows_CIS_Benchmark_Hardening,Remote Access,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.13,Baseline - Cloud Remediation  quick machine recovery,14_Modern_Workplace_and_Resilience,Resilience & Recovery,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.13,Baseline - Enable Windows Backup_2025-09-01T08_19_23.564Z,14_Modern_Workplace_and_Resilience,Resilience & Recovery,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Account Logon Audit Credential Validation,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Account Logon Logoff Audit Account Lockout,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Account Logon Logoff Audit Logon,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Audit Changes to Audit Policy,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Audit User Account Management,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Object Access Audit Removable Storage,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Privilege Use Audit Sensitive Privilege Use,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L1 - Specify the maximum log file size (KB) Security,03_Audit_and_Logging,Audit & Logging,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L2 - Turn on PowerShell Script Block Logging,03_Audit_and_Logging,Audit & Logging,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.15,CISv4 - WIN - L2 - Turn on PowerShell Transcription,03_Audit_and_Logging,Audit & Logging,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.19,CISv3 - EDGE - L2 - Configure extension management settings,11_Microsoft_Edge_CIS_Benchmark,Identity & Account Control,L2,Edge,mapped
ISO/IEC 27001:2022,8.2,Baseline - Account Protection,04_Identity_and_Authentication,UAC & Privileged Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,CISv4 - WIN - L1 - 'User Account Control Behavior of the  elevation prompt for standard users,02_Windows_CIS_Benchmark_Hardening,UAC & Privileged Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,CISv4 - WIN - L1 - Accounts Enable Guest account status,02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,CISv4 - WIN - L1 - Accounts Rename administrator account,02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,CISv4 - WIN - L1 - Apply UAC restrictions to local accounts on  network logons,02_Windows_CIS_Benchmark_Hardening,UAC & Privileged Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,CISv4 - WIN - L1 - User Account Control Behavior of the  elevation prompt for administrators,02_Windows_CIS_Benchmark_Hardening,UAC & Privileged Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,CISv4 - WIN - L1 - User Account Control Run all administrators  in Admin Approval Mode,02_Windows_CIS_Benchmark_Hardening,UAC & Privileged Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.2,background_services,16_Defender_for_Endpoint_macOS,UAC & Privileged Access,N/A,macOS,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Allow Google Cast to connect to Cast devices on all IP addresses,11_Microsoft_Edge_CIS_Benchmark,Network Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Allow queries to a Browser Network Time service,11_Microsoft_Edge_CIS_Benchmark,Network Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Configure the list of names that will bypass the HSTS policy check,11_Microsoft_Edge_CIS_Benchmark,Network Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Control use of insecure content exceptions,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - DNS interception checks enabled,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Enable Google Cast,11_Microsoft_Edge_CIS_Benchmark,Network Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Enable warnings for insecure forms,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L1 - Manage exposure of local IP addresses by WebRTC,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L2 - Allow users to proceed from the HTTPS  warning page,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L2 - Block third party cookies,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L2 - Control where security restrictions on insecure  origins apply,11_Microsoft_Edge_CIS_Benchmark,Network Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv3 - EDGE - L2 - Enhanced Security Mode configuration for  Intranet zone sites,11_Microsoft_Edge_CIS_Benchmark,Network Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Configure SMB v1 client driver,02_Windows_CIS_Benchmark_Hardening,Network Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Configure SMB v1 server,02_Windows_CIS_Benchmark_Hardening,Network Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Microsoft network client Digitally sign  communications (always),02_Windows_CIS_Benchmark_Hardening,Network Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Network security LAN Manager authentication  level,02_Windows_CIS_Benchmark_Hardening,Network Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Require secure RPC communication,02_Windows_CIS_Benchmark_Hardening,Remote Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Require user authentication for remote  connections by using Network Level Authentication,02_Windows_CIS_Benchmark_Hardening,Remote Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,CISv4 - WIN - L1 - Set client connection encryption level,02_Windows_CIS_Benchmark_Hardening,Remote Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.20,firewall,16_Defender_for_Endpoint_macOS,Firewall,N/A,macOS,mapped
ISO/IEC 27001:2022,8.20,netfilter,16_Defender_for_Endpoint_macOS,Network Security,N/A,macOS,mapped
ISO/IEC 27001:2022,8.23,CISv3 - EDGE - L1 - Configure Microsoft Defender SmartScreen,01_Defender_for_Endpoint (Windows + Linux),Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.24,Baseline - Bitlocker Policy,06_Data_Encryption,Encryption at Rest,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.24,Baseline - Personal Data Encryption,06_Data_Encryption,Encryption at Rest,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.24,Baseline - SSL Cipher Suite Order,07_Firewall_and_Network_Security,Network Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.24,CISv3 - EDGE - L1 - Allow importing of payment info,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,8.24,CISv3 - EDGE - L1 - Enable AutoFill for payment instructions,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L1,Edge,mapped
ISO/IEC 27001:2022,8.24,CISv3 - EDGE - L2 - Specify if online OCSPCRL checks are  required for local trust anchors,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.24,CISv4 - Choose how BitLocker-protected  operating system drives can be recovered  Require 48-digit recovery password,06_Data_Encryption,Encryption at Rest,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.3,Baseline - One Drive management settings,05_Tenant_and_Account_Access_Control,Identity & Account Control,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.3,sysext,16_Defender_for_Endpoint_macOS,Identity & Account Control,N/A,macOS,mapped
ISO/IEC 27001:2022,8.5,Baseline -  WHFB Exclude Security Devices TPM 1.2 ,12_Passwordless_Authentication,Passwordless Authentication,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.5,Baseline - Block add MSA accounts and non-MSA accounts,05_Tenant_and_Account_Access_Control,Identity & Account Control,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,Baseline - Chrome Password manager and protection configuration,13_Google_Chrome_CIS_Benchmark,Browser Security (Chrome),L1,Chrome,mapped
ISO/IEC 27001:2022,8.5,Baseline - Device Password Policy (Consolidated),02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,Baseline - Enables FIDO Security Keys to be used during Windows Sign In -1,12_Passwordless_Authentication,Passwordless Authentication,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.5,Baseline - WHFB Disable Post Logon Provisioning,12_Passwordless_Authentication,Passwordless Authentication,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.5,Baseline - WHFB Require Security Device,12_Passwordless_Authentication,Passwordless Authentication,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L1 - Allow cross-origin HTTP Authentication prompts,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L1 - Allow import of data from other browsers on each Microsoft Edge launch,11_Microsoft_Edge_CIS_Benchmark,Credential Protection,L1,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L1 - Allow importing of autofill form data,11_Microsoft_Edge_CIS_Benchmark,Credential Protection,L1,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L1 - Enable saving passwords to the password manager,11_Microsoft_Edge_CIS_Benchmark,Credential Protection,L1,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L2 - Browser sign-in settings,11_Microsoft_Edge_CIS_Benchmark,Identity & Account Control,L2,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L2 - Enable guest mode,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv3 - EDGE - L2 - Supported authentication schemes,11_Microsoft_Edge_CIS_Benchmark,Credential Protection,L2,Edge,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - Accounts Limit local account use of blank  passwords to console logon only',02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - Always prompt for password upon connection,02_Windows_CIS_Benchmark_Hardening,Remote Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - Network security Do not store LAN Manager  hash value on next password change,02_Windows_CIS_Benchmark_Hardening,Credential Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - Network security LAN Manager authentication  level,02_Windows_CIS_Benchmark_Hardening,Network Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - Prevent the use of security questions for  local accounts,02_Windows_CIS_Benchmark_Hardening,Authentication & Account Security,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - Require user authentication for remote  connections by using Network Level Authentication,02_Windows_CIS_Benchmark_Hardening,Remote Access,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L1 - WDigest Authentication,02_Windows_CIS_Benchmark_Hardening,Credential Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.5,CISv4 - WIN - L2 - Support device authentication using  certificate,04_Identity_and_Authentication,Authentication & Account Security,L2,Windows 11,mapped
ISO/IEC 27001:2022,8.5,netfilter,16_Defender_for_Endpoint_macOS,Network Security,N/A,macOS,mapped
ISO/IEC 27001:2022,8.7,ASR - BLOCK - Block Office applications from creating executable content,01_Defender_for_Endpoint (Windows + Linux),Attack Surface Reduction (ASR),L1,Windows 11,mapped
ISO/IEC 27001:2022,8.7,ASR - BLOCK - Block abuse of exploited vulnerable signed drivers (Device),01_Defender_for_Endpoint (Windows + Linux),Attack Surface Reduction (ASR),L1,Windows 11,mapped
ISO/IEC 27001:2022,8.7,ASR - BLOCK - Block rebooting machine in Safe Mode,01_Defender_for_Endpoint (Windows + Linux),Attack Surface Reduction (ASR),L2,Windows 11,mapped
ISO/IEC 27001:2022,8.7,ASR - BLOCK - Enable Controlled Folder Access,01_Defender_for_Endpoint (Windows + Linux),Attack Surface Reduction (ASR),L2,Windows 11,mapped
ISO/IEC 27001:2022,8.7,ASR - BLOCK - Use advanced protection against ransomware,01_Defender_for_Endpoint (Windows + Linux),Attack Surface Reduction (ASR),L1,Windows 11,mapped
ISO/IEC 27001:2022,8.7,Baseline - App and Browser Isolation,01_Defender_for_Endpoint (Windows + Linux),Malware Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.7,Baseline - Chrome - Block external extensions from being installed,13_Google_Chrome_CIS_Benchmark,Browser Security (Chrome),L1,Chrome,mapped
ISO/IEC 27001:2022,8.7,Baseline - Chrome - Configure extension installation allow list,13_Google_Chrome_CIS_Benchmark,Browser Security (Chrome),L1,Chrome,mapped
ISO/IEC 27001:2022,8.7,Baseline - Chrome - Enable Site Isolation for specified origins,13_Google_Chrome_CIS_Benchmark,Browser Security (Chrome),L1,Chrome,mapped
ISO/IEC 27001:2022,8.7,Baseline - Chrome Microsoft Defender Browser Protection,01_Defender_for_Endpoint (Windows + Linux),Malware Protection,L1,Chrome,mapped
ISO/IEC 27001:2022,8.7,Baseline - Defender for Endpoint Linux ,01_Defender_for_Endpoint (Windows + Linux),Linux Endpoint Security,L1,Linux,mapped
ISO/IEC 27001:2022,8.7,Baseline - Microsoft Defender Antivirus,01_Defender_for_Endpoint (Windows + Linux),Malware Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.7,Baseline - Scareware Blocker in Microsoft Edge,01_Defender_for_Endpoint (Windows + Linux),Malware Protection,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,Baseline - Windows Defender  Security Experience,01_Defender_for_Endpoint (Windows + Linux),Malware Protection,L1,Windows 11,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Allow download restrictions,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Allow remote debugging,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Allow the audio sandbox to run,11_Microsoft_Edge_CIS_Benchmark,Malware Protection,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Configure Edge Website Typo Protection,11_Microsoft_Edge_CIS_Benchmark,Malware Protection,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Configure Microsoft Defender SmartScreen,01_Defender_for_Endpoint (Windows + Linux),Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Enable browser legacy extension point blocking,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Enable security warnings for command-line flags,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L1 - Prevent bypassing Microsoft Defender SmartScreen prompts for sites,01_Defender_for_Endpoint (Windows + Linux),Edge Browser Security,L1,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - Allow or block audio capture,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - Allow or deny screen capture,11_Microsoft_Edge_CIS_Benchmark,Privacy & Data Governance,L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - Allow unconfigured sites to be reloaded in  Internet Explorer mode,11_Microsoft_Edge_CIS_Benchmark,Malware Protection,L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - AutoLaunch Protocols Component Enabled,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - Control use of JavaScript JIT,11_Microsoft_Edge_CIS_Benchmark,Attack Surface Reduction (ASR),L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - Control use of the Headless Mode,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv3 - EDGE - L2 - Show an Always open checkbox in external  protocol dialog,11_Microsoft_Edge_CIS_Benchmark,Edge Browser Security,L2,Edge,mapped
ISO/IEC 27001:2022,8.7,CISv4 - WIN - L1 - ASR Block Adobe Reader from creating child  processes,01_Defender_for_Endpoint (Windows + Linux),Attack Surface Reduction (ASR),L1,Windows 11,mapped
